Year,Month,Location,ReportedInstances
2024,February,Newcastle,616
2024,February,North Tyneside,363
2024,February,Northumberland,519
2024,February,South Tyneside,374
2024,February,Sunderland,682
2024,February,Unspecified,8
2024,March,Gateshead,531
2024,March,Newcastle,712
2024,March,North Tyneside,467
2024,March,Northumberland,515
2024,March,South Tyneside,397
2024,March,Sunderland,718
2024,March,Unspecified,7
2024,April,Gateshead,453
2024,April,Newcastle,680
2024,April,North Tyneside,420
2024,April,Northumberland,537
2024,April,South Tyneside,394
2024,April,Sunderland,693
2024,April,Unspecified,14
2024,May,Gateshead,508
2024,May,Newcastle,643
2024,May,North Tyneside,456
2024,May,Northumberland,553
2024,May,South Tyneside,422
2024,May,Sunderland,668
2024,May,Unspecified,6
2024,June,Gateshead,450
2024,June,Newcastle,621
2024,June,North Tyneside,363
2024,June,Northumberland,526
2024,June,South Tyneside,374
2024,June,Sunderland,584
2024,June,Unspecified,3
2024,July,Gateshead,475
2024,July,Newcastle,627
2024,July,North Tyneside,429
2024,July,Northumberland,541
2024,July,South Tyneside,414
2024,July,Sunderland,666
2024,July,Unspecified,5
2024,August,Gateshead,497
2024,August,Newcastle,596
2024,August,North Tyneside,418
2024,August,Northumberland,591
2024,August,South Tyneside,347
2024,August,Sunderland,628
2024,August,Unspecified,4
2024,September,Gateshead,421
2024,September,Newcastle,599
2024,September,North Tyneside,366
2024,September,Northumberland,553
2024,September,South Tyneside,349
2024,September,Sunderland,587
2024,September,Unspecified,1
2024,October,Gateshead,406
2024,October,Newcastle,577
2024,October,North Tyneside,427
2024,October,Northumberland,522
2024,October,South Tyneside,354
2024,October,Sunderland,653
2024,October,Unspecified,11
2024,November,Gateshead,457
2024,November,Newcastle,606
2024,November,North Tyneside,377
2024,November,Northumberland,478
2024,November,South Tyneside,383
2024,November,Sunderland,613
2024,November,Unspecified,5
2024,December,Gateshead,459
2024,December,Newcastle,643
2024,December,North Tyneside,403
2024,December,Northumberland,527
2024,December,South Tyneside,419
2024,December,Sunderland,663
2024,December,Unspecified,8
